ENTITETI;LIGA;UTAKMICA;EKIPA;PN1;PN2;VN1;VN2;IN1;IN2;BD;TN;VZA;IU
1;EURO;BAR-MAC;Barcelona;OL;OL-PL;PN;PN-CC;NEU;NEU-NS3-ZPL;4;13;BOT;POBJEDA
2;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-NS3-IPL;3;16;BOT;POBJEDA
3;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;2;21;LEPK;PORAZ
4;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;3;14;OT;POBJEDA
5;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;2;21;OA;PORAZ
6;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;TN;TN-P;NEG;NEG-NS2-IPL;1;6;TRA;POBJEDA
7;EURO;BAR-MAC;Maccabi;OL;OL-UL;TN;TN-P;POZ;POZ-US2;1;4;TRA;PORAZ
8;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;13;OA;POBJEDA
9;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-ZO;POZ;POZ-US3;3;6;OT;POBJEDA
10;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-NS3-IPL;6;23;LIPK;PORAZ
11;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-ZO;NEU;NEU-IOP-NN;4;10;LEPK;POBJEDA
12;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-ZO;NEU;NEU-NS2-ZPL;3;5;BOT;POBJEDA
13;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;2;SSN;POBJEDA
14;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;3;11;LEPK;PORAZ
15;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS2-ZPL;7;21;LEPK;POBJEDA
16;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-NS2-IPL;2;6;LEPK;POBJEDA
17;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;4;16;LEPK;PORAZ
18;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEU;NEU-NS3-ZPL;4;20;LIPK;POBJEDA
19;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;2;SSN;POBJEDA
20;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-3/3;3;15;LEPK;PORAZ
21;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-S;POZ;POZ-US3;2;7;TRA;POBJEDA
22;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-OPN;2;8;P&R;PORAZ
23;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US3;9;21;BOT;POBJEDA
24;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;3;15;OA;PORAZ
25;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-P;NEU;NEU-NS2-ZPL;1;4;TRA;POBJEDA
26;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;5;11;P&R;POBJEDA
27;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;15;LEPK;PORAZ
28;EURO;BAR-MAC;Maccabi;UL;UL-CL-PN;PN;PN-CC;NEG;NEG-IPL-LI;5;12;OA;PORAZ
29;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-P;POZ;POZ-US2;1;5;TRA;POBJEDA
30;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;5;24;UR;PORAZ
31;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LI;4;14;P&R;POBJEDA
32;EURO;BAR-MAC;Maccabi;OL;OL-UL;ON;ON;NEU;NEU-IOP-NN;1;2;OA;PORAZ
33;EURO;BAR-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;POZ;POZ-US2;4;11;OT;PORAZ
34;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;4;15;OT;POBJEDA
35;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;2;19;P&R;PORAZ
36;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-R;NEG;NEG-NS3-IPL;2;11;P&R;POBJEDA
37;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LI;1;8;OA;PORAZ
38;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-P;POZ;POZ-US2;2;5;TRA;POBJEDA
39;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2-US-SL;5;16;LIPK;PORAZ
40;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;11;22;BOT;POBJEDA
41;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;4;24;OT;PORAZ
42;EURO;BAR-MAC;Maccabi;UL;UL-BL-SI;PN;PN-CC;POZ;POZ-US2;3;10;OT;PORAZ
43;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;2;14;LIPK;POBJEDA
44;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;ON;ON;NEU;NEU-IOP-NN;1;3;OA;PORAZ
45;EURO;BAR-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;NEU;NEU-NS2-ZPL;5;21;OA;PORAZ
46;EURO;BAR-MAC;Maccabi;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;1;SSN;PORAZ
47;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2-NE-SL-IPL;3;19;P&R;POBJEDA
48;EURO;BAR-MAC;Maccabi;OL;OL-SO-SL;PN;PN-CC;POZ;POZ-US2;5;14;LIPK;PORAZ
49;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;ON;ON;POZ;POZ-IOP-2/2;2;7;LEPK;POBJEDA
50;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;2;14;P&P;PORAZ
51;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;NEU;NEU-IOP-NN;5;14;OT;POBJEDA
52;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-NS3-IPL;3;22;BOT;POBJEDA
53;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-IOP-2/2;2;14;P&R;PORAZ
54;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-IPL-LI;8;20;OA;POBJEDA
55;EURO;BAR-MAC;Maccabi;OL;OL-UL;PN;PN-CC;NEG;NEG-NS3-IPL;7;21;OT;PORAZ
56;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;4;17;LEPK;POBJEDA
57;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;NEU;NEU-NS3-ZPL;0;11;LIPK;PORAZ
58;EURO;BAR-MAC;Maccabi;OL;OL-SN-SI;ON;ON;POZ;POZ-IOP-1/2-ZU;0;1;SSN;PORAZ
59;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-S;NEG;NEG-NS3-IPL;3;8;TRA;POBJEDA
60;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-IOP-2/2;3;19;OT;PORAZ
61;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;TN;TN-R;POZ;POZ-US3;3;13;P&R;POBJEDA
62;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;ON;ON;POZ;POZ-IOP-1/2-ZN-IPL;1;8;OA;PORAZ
63;EURO;BAR-MAC;Barcelona;OL;OL-SO-SL;PN;PN-CC;POZ;POZ-US2;2;12;P&R;POBJEDA
64;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;TN;TN-S;POZ;POZ-US2;1;6;TRA;PORAZ
65;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;2;12;OA;POBJEDA
66;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;5;23;BOT;PORAZ
67;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;5;23;LIPK;POBJEDA
68;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-S;POZ;POZ-IOP-2/2;0;4;TRA;PORAZ
69;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;4;13;P&R;POBJEDA
70;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LS;3;17;OA;PORAZ
71;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;4;17;BOT;POBJEDA
72;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;5;19;OA;PORAZ
73;EURO;BAR-MAC;Barcelona;OL;OL-UL;ON;ON;POZ;POZ-IOP-2/2;0;1;OA;POBJEDA
74;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS3-ZPL;2;10;BIBL;PORAZ
75;EURO;BAR-MAC;Maccabi;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-IPL-LS;4;15;OA;PORAZ
76;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;3;8;LIPK;POBJEDA
77;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;2;15;OT;PORAZ
78;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-NS3-IPL;6;16;BOT;POBJEDA
79;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IOP-0/2-IPL;3;20;OT;PORAZ
80;EURO;BAR-MAC;Barcelona;OL;OL-SO-SL;PN;PN-CC;NEG;NEG-NS2-IPL;6;23;OT;POBJEDA
81;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;NEG;NEG-NS3-IPL;1;12;LIPK;PORAZ
82;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;ON;ON;NEG;NEG-NS3-ZNC;0;2;OA;POBJEDA
83;EURO;BAR-MAC;Barcelona;UL;UL-BL-SI;PN;PN-CC;POZ;POZ-US2;3;8;P&R;POBJEDA
84;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;3;19;LEPK;PORAZ
85;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-P;POZ;POZ-US2;1;3;TRA;POBJEDA
86;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;3;17;LEPK;PORAZ
87;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;6;21;LEPK;POBJEDA
88;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;3;16;LEPK;PORAZ
89;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-S;NEU;NEU-NS3-ZPL;2;9;TRA;POBJEDA
90;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;1;SSN;POBJEDA
91;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;22;LEPK;PORAZ
92;EURO;BAR-MAC;Maccabi;UL;UL-CL-PN;PN;PN-CC;POZ;POZ-US2;1;1;OT;PORAZ
93;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;6;16;LIPK;POBJEDA
94;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-S;NEG;NEG-NS2-IPL;1;7;TRA;PORAZ
95;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US3;4;22;BOT;POBJEDA
96;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;3;14;OA;PORAZ
97;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-S;NEG;NEG-NS2-IPL;1;6;TRA;POBJEDA
98;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;4;14;LEPK;PORAZ
99;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEU;NEU-IOP-NN;2;19;OA;POBJEDA
100;EURO;BAR-MAC;Barcelona;UL;UL-CL-PN;PN;PN-CC;NEG;NEG-IPL-LI;2;11;OA;POBJEDA
101;EURO;BAR-MAC;Maccabi;OL;OL-UL;PN;PN-CC;NEU;NEU-IOP-NN;6;16;LIPK;PORAZ
102;EURO;BAR-MAC;Maccabi;UL;UL-BL-PO;ON;ON;NEG;NEG-NS3-IPL;2;4;OA;PORAZ
103;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;3;16;LEPK;POBJEDA
104;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;2;13;OT;PORAZ
105;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LS;4;15;LIPK;POBJEDA
106;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;4;24;BOT;PORAZ
107;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS2-ZPL;6;20;P&R;POBJEDA
108;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;NEG;NEG-NS3-IPL;1;3;BOT;POBJEDA
109;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-S;NEG;NEG-IPL-LI;2;4;TRA;PORAZ
110;EURO;BAR-MAC;Barcelona;OL;OL-UL;ON;ON;NEU;NEU-IOP-NN;2;8;OA;POBJEDA
111;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US2;4;9;BOT;POBJEDA
112;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;3;16;LEPK;PORAZ
113;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;POZ;POZ-US2;6;18;LEPK;POBJEDA
114;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;3;18;LIPK;PORAZ
115;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;TN;TN-P;POZ;POZ-US2;1;4;TRA;POBJEDA
116;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;5;21;LIPK;PORAZ
117;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;POZ;POZ-US3;3;10;OT;POBJEDA
118;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;1;15;P&R;PORAZ
119;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;3;22;BOT;POBJEDA
120;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEU;NEU-IOP-NN;1;16;P&R;PORAZ
121;EURO;BAR-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;POZ;POZ-US3;3;10;BOT;PORAZ
122;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;ON;ON;NEU;NEU-ZC;1;1;OA;POBJEDA
123;EURO;BAR-MAC;Maccabi;UL;UL-BL-SI;PN;PN-CC;NEG;NEG-NS3-IPL;4;17;OT;PORAZ
124;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;TN;TN-P;POZ;POZ-INOP-1/2;1;2;TRA;POBJEDA
125;EURO;BAR-MAC;Barcelona;UL;UL-BL-SI;PN;PN-CC;NEU;NEU-IOP-NN;3;18;BIBL;POBJEDA
126;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-NS3-IPL;2;7;BIBL;POBJEDA
127;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-S;POZ;POZ-IOP-2/2;2;5;TRA;PORAZ
128;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;6;18;OT;POBJEDA
129;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;2;11;LIPK;PORAZ
130;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;4;15;OA;POBJEDA
131;EURO;BAR-MAC;Barcelona;UL;UL-CL-PN;PN;PN-CC;NEG;NEG-NS3-IPL;5;11;LIPK;POBJEDA
132;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;POZ;POZ-US2;1;9;P&R;PORAZ
133;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;5;19;P&R;POBJEDA
134;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;2;11;P&R;PORAZ
135;EURO;BAR-MAC;Barcelona;OL;OL-UL;TN;TN-R;NEG;NEG-NS3-IPL;2;10;BOT;POBJEDA
136;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;ON;ON;NEU;NEU-IOP-NN;2;6;OA;PORAZ
137;EURO;BAR-MAC;Maccabi;UL;UL-CL-PN;PN;PN-CC;NEU;NEU-NS2-ZPL;4;19;BIBL;PORAZ
138;EURO;BAR-MAC;Maccabi;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;1;3;OT;PORAZ
139;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;3;16;LIPK;POBJEDA
140;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;2;11;OA;PORAZ
141;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-OPN;2;13;BOT;POBJEDA
142;EURO;BAR-MAC;Maccabi;UL;UL-BL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;11;LEPK;PORAZ
143;EURO;BAR-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-IPL-LS;3;16;OA;PORAZ
144;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US3;3;12;BIBL;POBJEDA
145;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;PN;PN-CC;NEU;NEU-IOP-NN;4;10;OA;POBJEDA
146;EURO;BAR-MAC;Barcelona;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;3;8;OT;POBJEDA
147;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-IOP-2/2;1;8;LEPK;PORAZ
148;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LS;1;19;P&R;POBJEDA
149;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;7;24;LEPK;PORAZ
150;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;2;18;OA;POBJEDA
151;EURO;BAR-MAC;Maccabi;OL;OL-UL;TN;TN-R;POZ;POZ-US2;2;8;P&R;PORAZ
152;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-IPL-LI;5;16;OA;POBJEDA
153;EURO;BAR-MAC;Maccabi;OL;OL-UL;PN;PN-CC;NEG;NEG-NS3-IPL;2;15;LIPK;PORAZ
154;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;TN;TN-S;NEU;NEU-NS2-ZPL;1;4;TRA;POBJEDA
155;EURO;BAR-MAC;Barcelona;OL;OL-SN-SI;ON;ON;POZ;POZ-IOP-1/2-ZU;0;1;SSN;POBJEDA
156;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;3;13;LIPK;PORAZ
157;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;6;21;OT;POBJEDA
158;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;4;15;OT;PORAZ
159;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-IOP-1/2-ZN-IPL;1;12;OA;POBJEDA
160;EURO;BAR-MAC;Maccabi;OL;OL-SO-SL;ON;ON;NEG;NEG-OPN;1;3;OA;PORAZ
161;EURO;BAR-MAC;Barcelona;UL;UL-BL-PN;PN;PN-CC;POZ;POZ-IOP-2/2;3;13;LIPK;POBJEDA
162;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;3;15;LEPK;PORAZ
163;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;1;18;P&R;POBJEDA
164;EURO;BAR-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;NEG;NEG-NS2-IPL;1;11;OA;PORAZ
165;EURO;BAR-MAC;Barcelona;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;2;23;P&R;POBJEDA
166;EURO;BAR-MAC;Maccabi;UL;UL-BL-PN;ON;ON;NEU;NEU-NS2-ZPL;2;3;OT;PORAZ
167;EURO;BAR-MAC;Maccabi;OL;OL-SN-SI;ON;ON;POZ;POZ-US2-NE-SL-IPL;0;1;SSN;PORAZ
168;EURO;BAR-MAC;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;2;21;LIPK;POBJEDA
169;EURO;BAR-MAC;Maccabi;UL;UL-CL-PO;TN;TN-S;NEG;NEG-NS2-ZNC;2;8;TRA;PORAZ
170;EURO;BAR-PAN;Panathinaicos;OL;OL-PL;PN;PN-CC;NEU;NEU-NS2-ZPL;4;14;LEPK;POBJEDA
171;EURO;BAR-PAN;Panathinaicos;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-NS2-IPL;2;6;P&R;POBJEDA
172;EURO;BAR-PAN;Barcelona;OL;OL-SO-SI;TN;TN-P;POZ;POZ-US2;1;2;TRA;PORAZ
173;EURO;BAR-PAN;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2-US-SL;4;6;UR;POBJEDA
174;EURO;BAR-PAN;Barcelona;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;6;19;LIPK;PORAZ
175;EURO;BAR-PAN;Panathinaicos;OL;OL-SO-SI;ON;ON;NEU;NEU-IOP-NN;2;5;OA;POBJEDA
176;EURO;BAR-PAN;Panathinaicos;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-IPL-LI;4;14;LEPK;POBJEDA
177;EURO;BAR-PAN;Barcelona;OL;OL-UL;TN;TN-P;POZ;POZ-US2;1;3;TRA;PORAZ
178;EURO;BAR-PAN;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;4;23;OA;POBJEDA
179;EURO;BAR-PAN;Barcelona;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-1/2-ZU;2;9;BIBL;PORAZ
180;EURO;BAR-PAN;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;9;OA;POBJEDA
181;EURO;BAR-PAN;Panathinaicos;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-NS2-IPL;5;13;BIBL;POBJEDA
182;EURO;BAR-PAN;Barcelona;OL;OL-SO-SI;TN;TN-S;NEG;NEG-OPN;0;4;TRA;PORAZ
183;EURO;BAR-PAN;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;4;13;BOT;POBJEDA
184;EURO;BAR-PAN;Barcelona;OL;OL-SO-SI;TN;TN-R;NEU;NEU-IOP-NN;1;7;P&R;PORAZ
185;EURO;BAR-PAN;Barcelona;UL;UL-CL-PN;PN;PN-CC;POZ;POZ-US3;4;5;BIBL;PORAZ
186;EURO;BAR-PAN;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;4;19;P&R;POBJEDA
187;EURO;BAR-PAN;Barcelona;OL;OL-UL;TN;TN-P;POZ;POZ-IOP-1/2-ZU;2;4;TRA;PORAZ
188;EURO;BAR-PAN;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LS;3;18;OA;POBJEDA
189;EURO;BAR-PAN;Barcelona;UL;UL-BL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;9;OA;PORAZ
190;EURO;BAR-PAN;Barcelona;UL;UL-CL-PN;PN;PN-CC;NEG;NEG-NS2-IPL;1;6;LIPK;PORAZ
191;EURO;BAR-PAN;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LS;2;14;OA;POBJEDA
192;EURO;BAR-PAN;Barcelona;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US2;5;15;LEPK;PORAZ
193;EURO;BAR-PAN;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;1;18;P&R;POBJEDA
194;EURO;BAR-PAN;Barcelona;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-NS3-IPL;8;17;BOT;PORAZ
195;EURO;BAR-PAN;Panathinaicos;OL;OL-SN-SI;TN;TN-R;NEG;NEG-IPL-LS;2;11;P&R;POBJEDA
196;EURO;BAR-PAN;Barcelona;UL;UL-CL-PO;PN;PN-ZO;POZ;POZ-US2;3;16;OT;PORAZ
197;EURO;BAR-PAN;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS3-ZPL;5;18;BOT;POBJEDA
198;EURO;BAR-PAN;Panathinaicos;OL;OL-SN-SI;ON;ON;NEU;NEU-NS2-ZPL;0;1;SSN;POBJEDA
199;EURO;BAR-PAN;Panathinaicos;OL;OL-SN-SI;ON;ON;NEU;NEU-NS2-ZPL;0;1;SSN;POBJEDA
200;EURO;BAR-PAN;Panathinaicos;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;1;SSN;POBJEDA
