ENTITETI;KRAJ;RAZRED;SPOL;ATV;ATT;AOP;ANN;MKUS;MPOL;MP20;MPRR;MTAP;MSDM;MDTR;MVIS
246;More;I;Z;132;26;17,5;9;185;260;16;32;26;150;16;22
247;More;I;Z;131;32;22;24;160;220;48;35;25;108;25;9
248;More;I;Z;128;28;19,2;14;166;230;65;38;25;90;21;20
249;More;I;M;125;25;17,8;8;142;190;90;31;27;140;21;15
250;More;I;M;127;25;17;8;251;310;5;37;24;115;16;5
251;More;I;M;125;25;18,1;6;187;170;28;38;29;130;12;15
252;More;I;M;130;26;19;9;163;210;28;42;23;110;21;17
253;More;I;M;120;25;19;11;167;210;90;30;22;110;6;10
254;More;I;M;127;26;17,5;6;179;220;90;28;22;111;23;35
255;More;I;M;124;23;16,9;6;185;200;62;36;31;120;23;45
256;More;I;M;129;31;19,5;16;158;200;23;29;22;90;19;5
257;More;I;M;127;26;17,7;6;141;160;86;38;27;130;31;26
258;More;I;M;128;25;16,6;5;180;200;90;24;22;120;18;20
259;More;II;Z;128;24;18,3;8;137;180;90;43;28;127;17;35
260;More;II;Z;124;25;18,3;10;160;260;90;33;22;112;2;25
261;More;II;Z;121;23;17,1;8;160;460;90;30;19;123;3;12
262;More;II;Z;139;28;19,1;13;140;200;11;40;22;127;15;29
263;More;II;Z;137;38;20,2;18;167;190;90;33;20;131;11;36
264;More;II;Z;132;33;19,5;16;199;230;90;37;18;130;9;17
265;More;II;Z;132;31;19,8;9;198;350;90;24;24;122;15;33
266;More;II;Z;125;20;16,7;10;183;260;18;41;23;118;12;21
267;More;II;Z;129;28;19;19;150;240;32;37;23;108;4;27
268;More;II;Z;124;25,5;17,4;8;160;290;90;30;17;102;13;29
269;More;II;M;134;35;21;20;141;210;38;41;21;132;12;34
270;More;II;M;124;34;20,5;18;155;230;90;38;20;172;14;31
271;More;II;M;134;30;18,9;11;143;180;67;36;22;127;14;29
272;More;II;M;141;30;19,3;13;148;200;52;27;27;132;18;31
273;More;II;M;136;29;19,2;8;162;160;11;29;23;162;12;29
274;More;II;M;140;38;20,8;18;135;150;90;35;24;137;15;41
275;More;II;M;135;29;20;10;151;270;90;38;20;141;12;23
276;More;II;M;134;34;19,4;14;198;250;54;27;21;111;4;29
277;More;II;M;133;27;19,8;10;173;160;90;28;15;112;15;31
278;More;II;M;131;25,5;18;7;178;210;22;43;20;119;13;23
279;More;III;Z;145;39;18,6;8;137;180;45;36;18;130;18;12
280;More;III;Z;136;32;19,5;16;146;190;68;30;20;130;24;10
281;More;III;Z;138;31;18,9;8;159;180;55;35;21;130;20;15
282;More;III;Z;138;32;18,9;9;140;120;90;35;24;135;25;15
283;More;III;Z;132;34;19,5;10;150;180;80;46;25;135;22;18
284;More;III;Z;147;34;19,8;11;100;200;72;45;21;125;21;38
285;More;III;Z;140;40;20,9;16;184;280;90;35;19;80;17;19
286;More;III;Z;123;23;17;9;174;150;90;24;21;105;29;21
287;More;III;Z;134;33;20,5;18;182;170;64;37;23;120;29;57
288;More;III;Z;147;39;20,3;14;151;170;90;28;25;152;35;59
289;More;III;M;141;35;18;7;149;160;90;30;24;134;24;27
290;More;III;M;133;30;21;11;152;130;90;22;24;140;36;56
291;More;III;M;131;27;19;9;139;180;75;30;24;140;26;51
292;More;III;M;146;34;20,4;11;143;170;58;40;26;130;21;15
293;More;III;M;132;30;17,9;6;149;150;34;25;24;127;11;28
294;More;III;M;127;20;16;5;131;180;90;15;19;110;21;25
295;More;III;M;141;31;20,5;8;186;180;21;20;21;128;23;23
296;More;III;M;135;31;19,9;13;149;150;90;32;24;130;26;19
297;More;III;M;139;30;19,7;17;142;210;90;30;24;120;20;18
298;More;III;M;138;29;19,8;11;147;150;55;30;19;115;14;21
299;More;IV;Z;136;30;20,1;9;155;162;13;80;20;140;26;33
300;More;IV;Z;152;35;20,5;9;161;153;90;70;28;140;34;44
301;More;IV;Z;144;32;21,5;15;146;160;6;80;18;118;12;6
302;More;IV;Z;147;41;20,5;13;142;166;32;80;27;165;35;20
303;More;IV;Z;143;31;18,4;8;167;209;20;78;23;150;13;28
304;More;IV;Z;140;34;21,3;22;155;202;35;65;28;157;19;14
305;More;IV;Z;149;40;21;14;140;187;90;73;18;157;31;34
306;More;IV;Z;150;49;20,9;18;188;220;21;60;22;150;10;8
307;More;IV;Z;137;32;18,4;9;160;128;90;80;19;164;27;120
308;More;IV;Z;143;35;20,7;17;135;170;37;76;26;140;10;11
309;More;IV;M;143;47;22,5;18;167;234;39;60;15;130;16;18
310;More;IV;M;138;30;21;8;165;147;90;63;21;168;24;13
311;More;IV;M;145;31;20;7;142;171;35;60;20;150;22;15
312;More;IV;M;160;45;22,3;9;141;185;55;76;22;178;24;16
313;More;IV;M;135;34;20,5;13;137;129;84;68;24;168;32;37
314;More;IV;M;145;40;21,7;9;180;191;90;65;22;120;30;20
315;More;IV;M;142;35;20,8;7;135;158;90;70;22;179;23;55
316;More;IV;M;139;30;19,5;6;152;177;69;70;22;160;25;105
317;More;IV;M;147;33;20,5;8;162;132;90;62;28;180;29;25
318;More;IV;M;150;40;21,4;16;155;163;21;75;23;148;23;20
